"Category","Ice Core & Mouna Loa"
1750,277
1755,277.2
1760,277.6
1765,278
1770,278.6
1775,279.3
1780,280.1
1785,280.8
1790,281.6
1795,282.3
1800,282.9
1805,283.4
1810,283.8
1815,284
1820,284.2
1825,284.3
1830,284.4
1835,284.5
1840,284.6
1845,284.8
1850,285.2
1855,285.7
1860,286.3
1865,287.2
1870,288.2
1875,289.4
1880,290.8
1885,292.3
1890,293.7
1895,295.2
1900,296.7
1905,298.2
1910,299.9
1915,301.5
1920,303.2
1925,304.9
1930,306.5
1935,308
1940,309.3
1945,310.5
1950,312
1955,314.1
1959,315.97
1960,316.91
1961,317.64
1962,318.45
1963,318.99
1964,319.62
1965,320.04
1966,321.38
1967,322.16
1968,323.04
1969,324.62
1970,325.68
1971,326.32
1972,327.45
1973,329.68
1974,330.18
1975,331.08
1976,332.05
1977,333.78
1978,335.41
1979,336.78
1980,338.68
1981,340.1
1982,341.44
1983,343.03
1984,344.58
1985,346.04
1986,347.39
1987,349.16
1988,351.56
1989,353.07
1990,354.35
1991,355.57
1992,356.38
1993,357.07
1994,358.82
1995,360.8
1996,362.59
1997,363.71
1998,366.65
1999,368.33
2000,369.52
2001,371.13
2002,373.22
2003,375.77
2004,377.49
2005,379.8
2006,381.9
2007,383.76
2008,385.59
2009,387.37
2010,389.85
2011,391.63
2012,393.82
2013,396.48
2014,398.61
2015,400.83
2016,404.41
2017,406.76
2018,408.72
2019,411.65
2020,414.21
2021,416.41
2022,418.53
